,ROI,Networks,t-value mean
193,7Networks_RH_Default_PFCdPFCm_4,DMN,0.6648917610795131
194,7Networks_RH_Default_PFCdPFCm_5,DMN,0.35522670578404764
195,7Networks_RH_Default_PFCdPFCm_6,DMN,0.08295792117570193
196,7Networks_RH_Default_PFCdPFCm_7,DMN,-0.18954653891893936
197,7Networks_RH_Default_pCunPCC_1,DMN,0.5880670048977569
198,7Networks_RH_Default_pCunPCC_2,DMN,0.2544917882772266
199,7Networks_RH_Default_pCunPCC_3,DMN,-0.17199550376769251
200,Subcortical_1,SUB,0.6712393783538592
201,Subcortical_2,SUB,1.0294083287341083
202,Subcortical_3,SUB,0.619561622753771
203,Subcortical_4,SUB,0.4787288246812048
204,Subcortical_5,SUB,0.839897260858782
205,Subcortical_6,SUB,-0.27128546696815625
206,Subcortical_7,SUB,-0.8385102575993136
207,Subcortical_8,SUB,-0.11753746373765846
208,Subcortical_9,SUB,-0.351099585485726
209,Subcortical_10,SUB,-0.35969045100485514
210,Subcortical_11,SUB,-0.280042145680122
211,Subcortical_12,SUB,-0.5830734180084536
212,Subcortical_13,SUB,-0.5423312752851356
213,Subcortical_14,SUB,-0.1509140051179498
214,Subcortical_15,SUB,-0.2844046626552926
215,Subcortical_16,SUB,-0.4491112701848016
216,Subcortical_17,SUB,0.6574304927941609
217,Subcortical_18,SUB,1.0166635546415868
218,Subcortical_19,SUB,0.7379408814032946
219,Subcortical_20,SUB,0.7223972946680276
220,Subcortical_21,SUB,0.8000785733270309
221,Subcortical_22,SUB,-0.5757452831810635
222,Subcortical_23,SUB,-0.6658740023354178
223,Subcortical_24,SUB,-0.059524756655352756
224,Subcortical_25,SUB,-0.3685808920530667
225,Subcortical_26,SUB,-0.3791296469482005
226,Subcortical_27,SUB,-0.4669354292261609
227,Subcortical_28,SUB,-0.6151564157914287
228,Subcortical_29,SUB,-0.505747345531191
229,Subcortical_30,SUB,-0.09753138924832673
230,Subcortical_31,SUB,-0.33292801109809794
231,Subcortical_32,SUB,-0.1973821754480974
